current ID,accumulated P/L,accumulated reward,reward,position,action,fpl,cu,ma1,ma2,ma3,ma4,ma5
356,-5399.9999999994925,-5399.9999999994925,0,2,2,0,0.4055188679245276,0,0,0,0,0
357,-5199.9999999995325,-5199.9999999995325,199.9999999999602,0,3,0.01999999999999602,0.42551886792452365,0,0,0,0,0
358,-5199.9999999995325,-5199.9999999995325,0,2,2,0,0.4055188679245276,0,0,0,0,0
359,-5199.9999999995325,-5199.9999999995325,0,2,1,0.03999999999999204,0.44551886792451967,0,0,0,0,0
360,-5199.9999999995325,-5199.9999999995325,0,2,2,0.010000000000005116,0.41551886792453274,0,0,0,0,0
361,-5199.9999999995325,-5199.9999999995325,0,2,1,0.010000000000005116,0.41551886792453274,0,0,0,0,0
362,-4899.999999999522,-4899.999999999522,300.00000000001137,0,3,0.030000000000001137,0.43551886792452876,0,0,0,0,0
363,-4899.999999999522,-4899.999999999522,0,0,0,0,0.43551886792452876,0,0,0,0,0
364,-4899.999999999522,-4899.999999999522,0,0,0,0,0.42551886792452365,0,0,0,0,0
365,-4899.999999999522,-4899.999999999522,0,0,0,0,0.43551886792452876,0,0,0,0,0
366,-4899.999999999522,-4899.999999999522,0,2,2,0,0.3855188679245316,0,0,0,0,0
367,-4899.999999999522,-4899.999999999522,0,2,0,-0.020000000000010232,0.3655188679245214,0,0,0,0,0
368,-4899.999999999522,-4899.999999999522,0,2,2,0.01999999999999602,0.4055188679245276,0,0,0,0,0
369,-4899.999999999522,-4899.999999999522,0,2,1,0.01999999999999602,0.4055188679245276,0,0,0,0,0
370,-4899.999999999522,-4899.999999999522,0,2,0,0.01999999999999602,0.4055188679245276,0,0,0,0,0
371,-5099.9999999996235,-5099.9999999996235,-200.00000000010232,0,3,-0.020000000000010232,0.3655188679245214,0,0,0,0,0
372,-5099.9999999996235,-5099.9999999996235,0,0,3,0,0.3955188679245225,0,0,0,0,0
373,-5099.9999999996235,-5099.9999999996235,0,2,2,0,0.41551886792453274,0,0,0,0,0
374,-5099.9999999996235,-5099.9999999996235,0,2,0,-0.010000000000005116,0.4055188679245276,0,0,0,0,0
375,-5099.9999999996235,-5099.9999999996235,0,2,1,-0.020000000000010232,0.3955188679245225,0,0,0,0,0
376,-5099.9999999996235,-5099.9999999996235,0,2,0,0.009999999999990905,0.42551886792452365,0,0,0,0,0
377,-5099.9999999996235,-5099.9999999996235,0,2,0,-0.020000000000010232,0.3955188679245225,0,0,0,0,0
378,-5099.9999999996235,-5099.9999999996235,0,2,2,-0.030000000000001137,0.3855188679245316,0,0,0,0,0
